,Longitude,Latitude,x,y,Date Num,Date Normal
0,-123.94313400000001,49.149394,6243387,5951750,737321.0,0.0
1,-122.702242,48.993891999999995,6381592,5967026,737332.0,0.0291005291005291
2,-122.70094099999999,48.971949,6381737,5969179,737362.0,0.10846560846560846
3,-122.810653,49.025831,6369518,5963890,737376.0,0.1455026455026455
4,-122.688503,48.980994,6383123,5968292,737401.0,0.21164021164021163
5,-122.641648,49.060215,6388341,5960514,737560.0,0.6322751322751323
6,-122.66103700000001,48.955587,6386182,5970784,737572.0,0.6640211640211641
7,-122.41861200000001,48.777534,6413182,5988235,737583.0,0.6931216931216931
8,-122.74501599999999,48.927519000000004,6376828,5973538,737654.0,0.8809523809523809
9,-122.574809,48.984269,6395785,5967970,737689.0,0.9735449735449735
10,-122.574726,48.98422,6395795,5967975,737696.0,0.9920634920634921
11,-122.57472,48.984171999999994,6395795,5967980,737697.0,0.9947089947089947
12,-122.58133500000001,48.979496999999995,6395058,5968438,737698.0,0.9973544973544973
13,-122.58246499999998,48.983375,6394933,5968058,737699.0,1.0
